variable,type,source,code,description,frequency
consumer_loans,target (y),FRED,CCLACBW027SBOG,"Consumer Loans: Credit Cards and Other Revolving Plans, All Commercial Banks","Weekly, Ending Wednesday"
sp500,input (x),FRED,SP500,S&P 500 Stock Price,Daily
bank_credit,input (x),FRED,TOTBKCR,"Bank Credit, All Commercial Banks",Weekly (Wed)
gas_price,input (x),FRED,GASREGW,U.S. Regular All Formulations Gas Price,Weekly (Mon)
loans_leases,input (x),FRED,TOTLL,"Loans and Leases in Bank Credit, All Commercial Banks",Weekly (Wed)
securities,input (x),FRED,SBCACBW027SBOG,"Securities in Bank Credit, All Commercial Banks (Weekly, SA, Wed)",Weekly (Wed)
ovx,input (x),FRED,OVXCLS,CBOE Crude Oil ETF Volatility Index,Daily
wti_crude,input (x),FRED,DCOILWTICO,Crude Oil Prices: West Texas Intermediate (WTI),Daily
brent_crude,input (x),FRED,DCOILBRENTEU,Crude Oil Prices: Brent - Europe,Daily
amazon_stock,input (x),Yahoo Finance,AMZN,Amazon Inc. Stock Price (Close),Daily
