target_date,actual_orig,signature_y_only,signature_joint
2022-11-05,204000.0,-288568.73846988543,-10950245.771204447
2022-12-03,209000.0,-54164.23979654105,17086245.370946623
2023-01-07,210000.0,-389715.0846944171,54457660.41411093
2023-02-04,215000.0,103333.57752395858,46542579.2275488
2023-03-04,230000.0,203819.31255370588,53981947.9567518
2023-04-01,217000.0,181123.74717206694,87206457.28977142
2023-05-06,223000.0,35017.18562250561,-8141430.93076822
2023-06-03,252000.0,-15475.416228614573,-16319068.307801861
2023-07-01,248000.0,69430.51692317054,-16630437.34859502
2023-08-05,258000.00000000003,-23630.06530308927,-96797843.77028036
2023-09-02,224999.99999999997,-82251.68832177494,-38171303.67851176
2023-10-07,210000.0,130095.90064249176,-40244472.62909262
2023-11-04,216000.0,274918.62325263664,-15685606.805356417
2023-12-02,215000.0,142835.76697305037,-23584392.548669297
2024-01-06,201000.0,102014.0716883901,-30917570.720958006
2024-02-03,213000.0,-36104.65523979638,-1009148.931306279
2024-03-02,213000.0,189406.93475734704,8420993.95178945
2024-04-06,213000.0,205230.79818541702,11551641.768259458
2024-05-04,230000.0,120740.43916883878,18324333.985724594
2024-06-01,227000.0,294863.74359095615,51573759.864435196
2024-07-06,223000.0,402655.212239446,86635646.38794613
2024-08-03,234000.0,507226.2421415177,112884511.11377853
2024-09-07,227000.0,490577.9345951698,5255281.028177168
2024-10-05,258000.00000000003,472124.4171537282,9938121.20995929
2024-11-02,221000.0,399679.98973030463,-1565517.0059115305
2024-12-07,238000.0,475766.4455960357,801624.2788790201
