forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2022-08-06,2022-11-05,-1.0288746157961728,-0.35123035530869706,-338542.9474178151,204000.0,-542542.9474178151,2.6595242520481133,14,39.11150374294513,1.467799267622069
2022-09-03,2022-12-03,-0.6429172003287987,-0.3449852804836287,-29533.506955946912,209000.0,-238533.5069559469,1.1413086457222341,14,40.026035415606536,1.467799267622069
2022-10-01,2023-01-07,-0.1241976499324374,-0.343736265518615,385769.40367866197,210000.0,175769.40367866197,0.8369971603745808,14,40.64031706291562,1.467799267622069
2022-11-05,2023-02-04,-0.48992746783902247,-0.33749119069354666,92954.80325265159,215000.0,-122045.19674734841,0.5676520778946438,14,36.30097520183319,2.154434690031882
2022-12-03,2023-03-04,-0.5946954390793051,-0.3187559662183416,9074.326096690551,230000.0,-220925.67390330945,0.9605464082752585,14,42.67196453578344,1.467799267622069
2023-01-07,2023-04-01,-0.5750288351229225,-0.3349931607635193,24820.01730717771,217000.0,-192179.9826928223,0.8856220400590888,14,43.750946260821856,1.467799267622069
2023-02-04,2023-05-06,-0.5896997521169198,-0.32749907097343733,13074.027543286618,223000.0,-209925.97245671338,0.941372073796921,14,44.752819929357756,1.467799267622069
2023-03-04,2023-06-03,-0.45770590133167055,-0.2912776369880409,118752.38567553257,252000.0,-133247.61432446743,0.5287603743034421,14,44.373579204184225,1.467799267622069
2023-04-01,2023-07-01,-0.6112958772192513,-0.29627369684809557,-4216.497956618085,248000.0,-252216.49795661808,1.017002007889589,14,44.88296218940522,1.467799267622069
2023-05-06,2023-08-05,-0.6072970613281838,-0.28378354719795884,-1014.922312547511,258000.00000000003,-259014.92231254754,1.0039338074129749,14,42.27262769126,2.154434690031882
2023-06-03,2023-09-02,-0.36059557628967276,-0.32500104104341,196501.91451399203,224999.99999999997,-28498.08548600794,0.12665815771559086,14,37.38648539497241,2.154434690031882
2023-07-01,2023-10-07,-0.3002254495722153,-0.343736265518615,244836.1045825608,210000.0,34836.1045825608,0.1658862122979086,14,34.8871824304587,2.154434690031882
2023-08-05,2023-11-04,-0.4032375268088788,-0.336242175728533,162361.45045739098,216000.0,-53638.54954260902,0.24832661825281954,14,35.725643326910436,2.154434690031882
2023-09-02,2023-12-02,-0.4971068559738747,-0.33749119069354666,87206.76312826952,215000.0,-127793.23687173048,0.5943871482406069,14,45.45860881678595,1.467799267622069
2023-10-07,2024-01-06,-0.34403540227354834,-0.354977400203738,209760.5018648195,201000.0,8760.501864819496,0.0435845863921368,14,38.174515279208244,2.154434690031882
2023-11-04,2024-02-03,-0.38500514429466265,-0.339989220623574,176958.85963576427,213000.0,-36041.14036423573,0.16920723175697527,14,39.5447219496566,2.154434690031882
2023-12-02,2024-03-02,-0.4283991444282098,-0.339989220623574,142216.28140486835,213000.0,-70783.71859513165,0.3323179276766744,14,39.51543141878066,2.154434690031882
2024-01-06,2024-04-06,-0.3319594882762342,-0.339989220623574,219428.85199318,213000.0,6428.8519931799965,0.030182403723849748,14,39.49086433648542,2.154434690031882
2024-02-03,2024-05-04,-0.2677983831418208,-0.3187559662183416,270798.2165977996,230000.0,40798.21659779962,0.17738355042521572,14,38.458758586530344,2.154434690031882
2024-03-02,2024-06-01,-0.24054416051322006,-0.32250301111338264,292618.78992319806,227000.0,65618.78992319806,0.28906955913303106,14,36.97423759300432,2.154434690031882
2024-04-06,2024-07-06,-0.17255562582312292,-0.32749907097343733,347052.5129725876,223000.0,124052.5129725876,0.5562892958412,14,42.31149696428347,1.467799267622069
2024-05-04,2024-08-03,-0.17659833718338014,-0.31375990635828693,343815.79325865454,234000.0,109815.79325865454,0.46929826178912193,14,43.280480423539764,1.467799267622069
2024-06-01,2024-09-07,-0.30608424889569763,-0.32250301111338264,240145.36869260433,227000.0,13145.36869260433,0.05790911318327899,14,37.33661575062082,2.154434690031882
2024-07-06,2024-10-05,-0.3438130302387087,-0.28378354719795884,209938.53979156062,258000.00000000003,-48061.460208439414,0.1862847294900752,14,39.196397672287475,2.154434690031882
2024-08-03,2024-11-02,-0.1586240111539829,-0.3299971009034646,358206.5944362854,221000.0,137206.59443628538,0.6208443187162235,14,37.21426616961178,2.154434690031882
2024-09-07,2024-12-07,-0.12136899236201237,-0.30876384649823224,388034.11439043004,238000.0,150034.11439043004,0.6303954386152523,14,36.99023145797324,2.154434690031882
