date,initial_claims,continued_claims,nfci,vix,term_spread,sp500,wti_crude,effr
2016-04-02,273000.0,2151000.0,-0.3771,13.1,1.03,2072.78,35.36,0.37
2016-05-07,289000.0,2185000.0,-0.38356,14.72,1.05,2057.14,44.58,0.37
2016-06-04,265000.0,2170000.0,-0.3678,13.47,0.93,2099.13,48.69,0.38
2016-07-02,255000.0,2131000.0,-0.34471,14.77,0.87,2102.95,49.02,0.39
2016-08-06,265000.0,2157000.0,-0.36073,11.39,0.87,2182.87,41.83,0.4
2016-09-03,257000.0,2149000.0,-0.34654,11.98,0.8,2179.98,44.39,0.4
2016-10-01,245000.0,2080000.0,-0.33819,13.29,0.83,2168.27,47.72,0.4
2016-11-05,250000.0,2046000.0,-0.39094,22.51,0.99,2085.18,44.07,0.41
2016-12-03,248000.0,2029000.0,-0.43903,14.12,1.29,2191.95,51.7,0.54
2017-01-07,245000.0,2080000.0,-0.47269,11.32,1.2,2276.98,53.98,0.65
2017-02-04,230000.0,2064000.0,-0.48929,10.97,1.28,2297.42,53.81,0.66
2017-03-04,236000.0,2020000.0,-0.48583,10.96,1.17,2383.12,53.33,0.79
2017-04-01,216000.0,1990000.0,-0.48076,12.37,1.13,2362.72,50.54,0.9
2017-05-06,233000.0,1892000.0,-0.51786,10.57,1.04,2399.29,46.23,0.91
2017-06-03,251000.0,1909000.0,-0.55294,9.75,0.87,2439.07,47.68,1.04
2017-07-01,256000.0,1911000.0,-0.56949,11.18,0.93,2423.41,46.02,1.15
2017-08-05,254000.0,1928000.0,-0.5746,10.03,0.91,2476.83,49.57,1.16
2017-09-02,297000.0,1911000.0,-0.55778,10.13,0.81,2476.55,47.32,1.15
2017-10-07,252000.0,1869000.0,-0.57708,9.65,0.83,2549.33,49.34,1.15
2017-11-04,248000.0,1939000.0,-0.60058,9.14,0.71,2587.84,55.63,1.16
2017-12-02,241000.0,1953000.0,-0.60587,11.43,0.59,2642.22,58.35,1.3
2018-01-06,252000.0,1971000.0,-0.62095,9.22,0.51,2743.15,61.49,1.41
2018-02-03,224000.0,1996000.0,-0.59396,17.31,0.69,2762.13,65.5,1.42
2018-03-03,228000.0,1960000.0,-0.5313,19.59,0.61,2691.25,61.19,1.51
2018-04-07,234000.0,1949000.0,-0.50212,21.49,0.5,2604.47,62.03,1.69
2018-05-05,211000.0,1765000.0,-0.55198,14.77,0.44,2663.42,69.71,1.7
2018-06-02,223000.0,1690000.0,-0.56075,13.46,0.42,2734.62,65.81,1.82
2018-07-07,216000.0,1676000.0,-0.54036,13.37,0.29,2759.82,73.78,1.91
2018-08-04,210000.0,1624000.0,-0.57216,11.64,0.32,2840.35,68.49,1.91
2018-09-01,201000.0,1575000.0,-0.59814,12.86,0.24,2901.52,69.84,1.95
2018-10-06,211000.0,1565000.0,-0.58675,14.82,0.35,2885.57,74.26,2.19
2018-11-03,218000.0,1642000.0,-0.53687,19.51,0.31,2723.06,63.12,2.2
2018-12-01,232000.0,1694000.0,-0.46037,18.07,0.21,2760.17,50.78,2.27
2019-01-05,225000.0,1766000.0,-0.43847,21.38,0.17,2531.94,47.76,2.4
2019-02-02,232000.0,1806000.0,-0.53025,16.14,0.18,2706.53,55.29,2.4
2019-03-02,216000.0,1807000.0,-0.59073,13.57,0.21,2803.69,55.76,2.41
2019-04-06,196000.0,1680000.0,-0.61072,12.82,0.15,2892.74,63.1,2.42
2019-05-04,225000.0,1627000.0,-0.61159,12.87,0.21,2945.64,61.98,2.39
