forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2022-09-03,2022-11-05,-0.1898812546478438,-0.35123035530869706,333181.07883446163,204000.0,129181.07883446163,0.6332405825218708,14,40.065562541578224,1.467799267622069
2022-10-01,2022-12-03,-0.19407655237813312,-0.3449852804836287,329822.19375477533,209000.0,120822.19375477533,0.5780966208362456,14,43.43883283049993,1.467799267622069
2022-11-05,2023-01-07,-0.4539040289556604,-0.343736265518615,121796.28225203877,210000.0,-88203.71774796123,0.42001770356172013,14,42.25627747135732,1.467799267622069
2022-12-03,2023-02-04,-0.6045860904900436,-0.33749119069354666,1155.5647625296842,215000.0,-213844.43523747032,0.9946252801742805,14,43.00891113493543,1.467799267622069
2023-01-07,2023-03-04,-0.5365654540326175,-0.3187559662183416,55614.989479415875,230000.0,-174385.01052058412,0.7581956979155832,14,44.379216172835136,1.467799267622069
2023-02-04,2023-04-01,-0.564258648089346,-0.3349931607635193,33442.96205584897,217000.0,-183557.03794415103,0.845884967484567,14,43.794739162162266,1.467799267622069
2023-03-04,2023-05-06,-0.4441617497448202,-0.32749907097343733,129596.25221535593,223000.0,-93403.74778464407,0.41885088692665506,14,44.3066296591544,1.467799267622069
2023-04-01,2023-06-03,-0.4102643102095254,-0.2912776369880409,156735.59040168725,252000.0,-95264.40959831275,0.378033371421876,14,41.89190803317719,2.154434690031882
2023-05-06,2023-07-01,-0.32267900206677996,-0.29627369684809557,226859.09620114486,248000.0,-21140.903798855143,0.08524557983409332,6,37.324557665104855,2.154434690031882
2023-06-03,2023-08-05,-0.3217182215634975,-0.28378354719795884,227628.32677899624,258000.00000000003,-30371.673221003788,0.11771966364730149,14,34.81853069343919,2.154434690031882
2023-07-01,2023-09-02,-0.3020142345754,-0.32500104104341,243403.94800054168,224999.99999999997,18403.948000541714,0.08179532444685207,14,34.74430887308688,2.154434690031882
2023-08-05,2023-10-07,-0.3897622879751392,-0.343736265518615,173150.14331632096,210000.0,-36849.85668367904,0.17547550801751924,14,45.063743640990175,1.467799267622069
2023-09-02,2023-11-04,-0.30996943791958476,-0.336242175728533,237034.7662316926,216000.0,21034.7662316926,0.09738317699857685,1,38.48822836911325,2.154434690031882
2023-10-07,2023-12-02,-0.3207696565384645,-0.33749119069354666,228387.77726726368,215000.0,13387.777267263678,0.06226873147564502,14,39.466648637313696,2.154434690031882
2023-11-04,2024-01-06,-0.34892263677835583,-0.354977400203738,205847.63080906396,201000.0,4847.630809063965,0.02411756621424858,1,39.88947883385772,2.154434690031882
2023-12-02,2024-02-03,-0.3498746594787388,-0.339989220623574,205085.41199900146,213000.0,-7914.588000998541,0.03715769014553306,1,39.79261365528874,2.154434690031882
2024-01-06,2024-03-02,-0.36706476417702066,-0.339989220623574,191322.48266685073,213000.0,-21677.51733314927,0.10177238184577123,1,38.08084278919071,2.154434690031882
2024-02-03,2024-04-06,-0.3934247717695146,-0.339989220623574,170217.84554810694,213000.0,-42782.15445189306,0.20085518522015522,14,42.15470605320805,1.467799267622069
2024-03-02,2024-05-04,-0.39174335209508093,-0.3187559662183416,171564.04212823784,230000.0,-58435.95787176216,0.2540693820511398,14,41.26771823219919,1.467799267622069
2024-04-06,2024-06-01,-0.3696516664846975,-0.32250301111338264,189251.32869340852,227000.0,-37748.67130659148,0.16629370619643824,5,43.07991274534116,1.467799267622069
2024-05-04,2024-07-06,-0.3411585754652747,-0.32749907097343733,212063.7783577814,223000.0,-10936.221642218588,0.049041352655688736,6,37.66690302400209,2.154434690031882
2024-06-01,2024-08-03,-0.3390173149527098,-0.31375990635828693,213778.13773100276,234000.0,-20221.86226899724,0.08641821482477453,14,39.751893032950726,2.154434690031882
2024-07-06,2024-09-07,-0.33132343019184973,-0.32250301111338264,219938.09976218292,227000.0,-7061.900237817084,0.0311096926776083,7,37.800070414800906,2.154434690031882
2024-08-03,2024-10-05,-0.3167153787220906,-0.28378354719795884,231633.7574435937,258000.00000000003,-26366.24255640633,0.1021947385907222,7,37.51068604497095,2.154434690031882
2024-09-07,2024-11-02,-0.31991104578382484,-0.3299971009034646,229075.20758530658,221000.0,8075.207585306576,0.0365394008384913,7,40.45943822347057,2.154434690031882
2024-10-05,2024-12-07,-0.26576370199330634,-0.30876384649823224,272427.2452367737,238000.0,34427.245236773684,0.1446522909108138,14,37.430100936056604,3.1622776601683795
