date,consumer_loans,sp500,bank_credit,gas_price,loans_leases,securities,ovx,wti_crude,brent_crude,amazon_stock
2018-01-03,767.8695,2713.06,12565.5385,2.52,9126.9922,3438.5462,22.75,61.61,67.85,60.209999084472656
2018-01-10,768.5149,2748.23,12562.5932,2.522,9132.8667,3429.7264,23.52,63.6,69.79,62.71649932861328
2018-01-17,769.6011,2802.56,12570.4123,2.557,9145.031,3425.3813,24.78,63.92,69.19,64.75
2018-01-24,767.3849,2837.54,12573.2215,2.567,9146.0674,3427.1541,23.93,65.69,69.91,67.87550354003906
2018-01-31,769.3092,2823.81,12578.5406,2.607,9154.8997,3423.6409,22.23,64.82,67.78,72.54450225830078
2018-02-07,769.0992,2681.66,12565.7735,2.637,9159.8991,3405.8744,26.79,61.91,65.74,70.83899688720703
2018-02-14,769.543,2698.63,12580.8801,2.607,9165.2628,3415.6173,27.73,60.7,62.29,72.55249786376953
2018-02-21,769.0215,2701.33,12580.1942,2.557,9172.6884,3407.5058,26.93,61.73,64.81,74.14600372314453
2018-02-28,769.4057,2713.83,12591.9205,2.548,9184.2751,3407.6454,26.92,61.43,66.08,75.62249755859375
2018-03-07,770.99,2726.8,12579.4139,2.56,9180.439,3398.9749,26.94,61.09,65.09,77.25
2018-03-14,769.9867,2749.48,12592.0831,2.559,9185.7428,3406.3402,25.21,60.89,63.61,79.55000305175781
2018-03-21,771.059,2711.93,12587.2366,2.598,9189.3347,3397.902,25.95,65.1,68.15,79.09300231933594
2018-03-28,771.8948,2605.0,12597.1253,2.648,9212.514,3384.6113,26.67,64.3,68.13,71.57099914550781
2018-04-04,787.7299,2644.69,12636.2922,2.7,9257.8393,3378.4529,26.17,63.35,66.04,70.52850341796875
2018-04-11,786.6698,2642.19,12648.1216,2.694,9273.9852,3374.1364,29.42,66.81,72.74,71.35250091552734
2018-04-18,786.2727,2708.64,12657.2207,2.747,9280.1417,3377.079,29.42,68.44,73.73,76.39199829101562
2018-04-25,786.2658,2639.4,12661.0759,2.798,9294.067,3367.0089,28.16,68.0,73.79,73.00849914550781
2018-05-02,786.9275,2635.67,12664.7821,2.846,9300.0123,3364.7698,27.32,67.91,73.14,78.48400115966797
2018-05-09,787.7515,2697.79,12670.9064,2.845,9299.0642,3371.8421,26.71,71.16,77.6,80.4000015258789
2018-05-16,789.3244,2722.46,12666.9841,2.873,9289.629,3377.3552,25.73,71.43,78.19,79.36399841308594
2018-05-23,790.5617,2733.29,12692.7452,2.923,9296.1432,3396.6019,26.04,71.85,78.69,80.09300231933594
2018-05-30,793.9646,2724.01,12710.9582,2.962,9307.9235,3403.0347,27.9,68.24,75.89,81.24449920654297
2018-06-06,793.8356,2772.35,12718.7979,2.94,9319.9824,3398.8156,29.14,64.75,73.23,84.7874984741211
2018-06-13,794.8918,2775.63,12735.9342,2.911,9321.3281,3414.6061,27.08,66.63,75.07,85.24299621582031
2018-06-20,794.1745,2767.32,12783.5248,2.879,9362.5512,3420.9736,28.06,65.92,74.25,87.50399780273438
2018-06-27,793.7981,2699.63,12792.0451,2.833,9362.6073,3429.4378,27.69,77.41,76.09,83.02549743652344
2018-07-04,793.8232,2713.22,12775.7724,2.844,9353.5713,3422.2011,28.58,74.19,76.99,84.697998046875
2018-07-11,792.1087,2774.02,12808.0675,2.857,9373.8132,3434.2544,28.56,70.47,75.35,87.75
2018-07-18,792.9427,2815.62,12803.2874,2.865,9372.4332,3430.8542,27.24,68.78,70.52,92.14600372314453
2018-07-25,793.4048,2846.07,12815.0435,2.831,9380.2783,3434.7652,25.34,71.13,73.67,93.18049621582031
2018-08-01,793.4095,2813.36,12796.8409,2.846,9381.4776,3415.3634,26.45,68.8,72.28,89.8584976196289
2018-08-08,796.254,2857.7,12803.0429,2.852,9376.7336,3426.3092,26.41,66.92,70.71,94.32599639892578
2018-08-15,796.4245,2818.37,12815.8557,2.843,9383.9987,3431.8569,27.26,65.07,68.38,94.13099670410156
2018-08-22,798.012,2861.82,12830.0324,2.821,9398.5275,3431.5049,24.72,67.85,72.96,95.24500274658203
2018-08-29,798.9685,2914.04,12829.8774,2.827,9405.7368,3424.1405,24.32,69.68,76.07,99.90499877929688
2018-09-05,800.2906,2888.6,12841.2479,2.824,9421.2164,3420.0315,26.62,68.69,76.68,99.74099731445312
2018-09-12,799.4133,2888.92,12856.2217,2.833,9427.3131,3428.9085,26.94,70.37,80.02,99.5
2018-09-19,800.414,2907.95,12865.4484,2.841,9433.3306,3432.1178,26.35,71.08,79.43,96.32099914550781
2018-09-26,799.984,2905.97,12866.4219,2.844,9439.0432,3427.3788,26.53,72.22,81.87,98.74250030517578
2018-10-03,802.2389,2925.51,12894.4479,2.866,9467.0059,3427.4419,28.04,76.4,85.45,97.63800048828125
2018-10-10,803.0474,2785.68,12895.2635,2.903,9469.4345,3425.829,28.81,73.18,83.82,87.76249694824219
